onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
28.205	0.117	SACC	459.5	-123.5	28.1	-14.2	25.028	450.859	276.775	221.796
28.322	0.017	LPSO	28.1	-14.2	32.0	-14.2	0.215	25.735	12.910	12.910
28.338	0.067	FIXA	32.1	-14.2	33.8	-14.9	0.105	5.885	3.672	3.302
28.405	0.242	PURS	34.5	-15.2	34.7	-20.2	0.280	11.954	1.820	2.447
28.647	0.033	ISAC	36.5	-20.2	33.0	-26.3	0.399	34.494	14.517	15.882
28.680	0.050	FIXA	32.8	-26.3	33.7	-22.8	0.203	21.220	1.903	4.991
28.730	0.075	SACC	33.7	-23.2	-85.5	-47.0	6.835	214.923	69.012	93.332
28.806	0.025	LPSO	-85.5	-47.0	-77.2	-46.2	0.467	38.323	17.817	18.713
28.831	0.142	FIXA	-75.1	-45.7	-74.0	-55.5	0.554	50.415	7.664	11.797
28.972	0.075	SACC	-72.0	-55.5	40.1	-46.6	6.329	236.961	54.239	97.875
29.048	0.309	PURS	40.1	-46.6	-267.4	19.9	17.699	255.805	19.423	68.094
29.548	0.159	SACC	-479.6	16.8	59.3	-40.3	30.483	594.921	75.864	201.881
29.707	0.025	LPSO	59.3	-40.3	60.5	-34.6	0.324	35.654	8.626	14.760
29.732	0.067	FIXA	60.9	-34.6	64.8	-34.6	0.219	32.965	1.155	6.191
29.799	1.101	PURS	63.3	-35.5	39.1	-8.8	2.029	52.848	5.658	8.320
30.900	0.083	FIXA	38.9	-8.8	38.8	-18.5	0.549	18.536	3.402	7.598
30.984	0.125	SACC	41.4	-21.2	433.3	30.6	22.239	284.167	212.408	182.350
31.109	0.025	HPSO	433.3	30.6	408.5	28.4	1.402	94.608	73.797	56.135
31.134	0.100	FIXA	399.2	28.4	398.5	24.8	0.205	62.743	0.521	8.673
31.234	0.108	SACC	398.3	25.9	33.2	-11.8	20.648	370.534	232.076	192.760
31.342	0.075	FIXA	33.2	-10.7	36.5	-11.6	0.193	10.197	3.739	4.113
31.417	0.317	PURS	37.1	-11.6	40.4	-22.1	0.620	23.878	3.851	4.771
31.735	0.175	FIXA	40.4	-20.7	37.6	-26.0	0.336	17.569	2.772	4.662
31.910	0.025	ISAC	36.8	-24.3	36.3	-17.2	0.402	48.053	12.580	21.344
31.935	0.200	FIXA	36.3	-17.2	29.9	-18.3	0.365	11.210	1.826	3.110
32.135	0.100	SACC	30.7	-19.5	284.0	-2.9	14.279	263.989	154.417	144.553
32.235	0.125	FIXA	284.0	-2.9	286.6	-1.2	0.169	24.901	2.950	5.575
32.360	0.100	SACC	287.5	-1.5	23.4	-17.8	14.886	315.792	178.593	151.626
32.460	0.192	FIXA	23.4	-17.8	25.2	-13.1	0.282	21.554	4.082	5.419
32.652	0.184	PURS	25.2	-13.9	89.9	-54.7	4.302	233.466	3.623	28.011
32.986	0.058	FIXA	425.7	40.0	373.9	31.0	2.232	145.463	62.264	63.409
33.045	0.125	SACC	374.9	32.3	14.5	-10.7	20.416	348.554	186.084	173.684
33.170	0.025	HPSO	16.6	-10.7	24.1	-8.6	0.436	37.566	14.813	22.090
33.195	0.217	FIXA	24.3	-8.6	24.6	-5.1	0.200	5.599	1.845	2.106
33.412	0.317	PURS	24.8	-6.1	19.5	-15.3	0.598	24.644	3.689	4.932
33.729	0.200	SACC	19.5	-14.5	486.1	61.6	26.595	353.631	160.853	154.805
33.929	0.017	HPSO	486.1	61.4	477.7	61.4	0.475	56.873	29.067	29.067
33.946	0.083	FIXA	477.7	61.4	473.1	59.2	0.285	9.948	3.279	3.964
34.029	0.108	SACC	472.8	59.8	0.8	-38.0	27.114	462.305	252.731	256.020
34.138	0.025	LPSO	0.8	-38.0	5.6	-38.2	0.270	17.767	14.626	10.798
34.163	0.284	FIXA	7.4	-38.7	12.9	-39.7	0.315	19.761	1.738	2.958
34.447	0.067	SACC	11.8	-41.1	-330.1	10.8	19.453	304.648	208.451	187.222
34.513	0.025	HPSO	-330.1	10.8	-407.8	15.2	4.375	290.714	234.294	175.003
34.538	0.033	FIXA	-433.7	19.2	-482.3	5.0	2.846	208.080	159.770	131.905
34.572	0.159	PURS	-494.3	8.9	-454.7	3.1	2.252	85.313	5.395	19.597
